,learner,openmlid,non-monotone
0,sklearn.linear_model.PassiveAggressiveClassifier,11,TRUE
1,sklearn.linear_model.PassiveAggressiveClassifier,31,TRUE
2,sklearn.linear_model.PassiveAggressiveClassifier,61,TRUE
3,sklearn.linear_model.PassiveAggressiveClassifier,346,TRUE
4,sklearn.linear_model.PassiveAggressiveClassifier,446,TRUE
5,sklearn.linear_model.PassiveAggressiveClassifier,679,TRUE
6,sklearn.linear_model.PassiveAggressiveClassifier,715,TRUE
7,sklearn.linear_model.PassiveAggressiveClassifier,718,TRUE
8,sklearn.linear_model.PassiveAggressiveClassifier,723,TRUE
9,sklearn.linear_model.PassiveAggressiveClassifier,740,TRUE
10,sklearn.linear_model.PassiveAggressiveClassifier,741,TRUE
11,sklearn.linear_model.PassiveAggressiveClassifier,743,TRUE
12,sklearn.linear_model.PassiveAggressiveClassifier,751,TRUE
13,sklearn.linear_model.PassiveAggressiveClassifier,797,TRUE
14,sklearn.linear_model.PassiveAggressiveClassifier,799,TRUE
15,sklearn.linear_model.PassiveAggressiveClassifier,806,TRUE
16,sklearn.linear_model.PassiveAggressiveClassifier,813,TRUE
17,sklearn.linear_model.PassiveAggressiveClassifier,837,TRUE
18,sklearn.linear_model.PassiveAggressiveClassifier,845,TRUE
19,sklearn.linear_model.PassiveAggressiveClassifier,849,TRUE
20,sklearn.linear_model.PassiveAggressiveClassifier,866,TRUE
21,sklearn.linear_model.PassiveAggressiveClassifier,897,TRUE
22,sklearn.linear_model.PassiveAggressiveClassifier,903,TRUE
23,sklearn.linear_model.PassiveAggressiveClassifier,904,TRUE
24,sklearn.linear_model.PassiveAggressiveClassifier,910,TRUE
25,sklearn.linear_model.PassiveAggressiveClassifier,912,TRUE
26,sklearn.linear_model.PassiveAggressiveClassifier,913,TRUE
27,sklearn.linear_model.PassiveAggressiveClassifier,917,TRUE
28,sklearn.linear_model.PassiveAggressiveClassifier,1450,TRUE
29,sklearn.linear_model.PassiveAggressiveClassifier,1465,TRUE
30,sklearn.linear_model.PassiveAggressiveClassifier,1499,TRUE
31,sklearn.linear_model.PassiveAggressiveClassifier,40981,TRUE
32,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,11,TRUE
33,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,18,TRUE
34,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,21,TRUE
35,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,54,TRUE
36,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,55,TRUE
37,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,61,TRUE
38,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,181,TRUE
39,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,185,TRUE
40,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,346,TRUE
41,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,380,TRUE
42,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,446,FALSE
43,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,679,TRUE
44,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,715,TRUE
45,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,723,TRUE
46,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,728,TRUE
47,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,737,TRUE
48,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,740,TRUE
49,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,741,TRUE
50,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,743,TRUE
51,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,751,TRUE
52,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,772,TRUE
53,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,799,TRUE
54,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,813,TRUE
55,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,845,TRUE
56,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,849,TRUE
57,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,871,TRUE
58,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,903,TRUE
59,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,910,TRUE
60,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,912,TRUE
61,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,913,TRUE
62,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,914,TRUE
63,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,917,TRUE
64,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,966,TRUE
65,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,991,TRUE
66,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,1448,TRUE
67,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,1450,TRUE
68,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,1465,TRUE
69,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,1488,TRUE
70,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,1489,TRUE
71,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,1499,TRUE
72,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,40975,TRUE
73,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,40981,TRUE
74,sklearn.linear_model.LogisticRegression,11,TRUE
75,sklearn.linear_model.LogisticRegression,31,TRUE
76,sklearn.linear_model.LogisticRegression,61,TRUE
77,sklearn.linear_model.LogisticRegression,346,TRUE
78,sklearn.linear_model.LogisticRegression,446,TRUE
79,sklearn.linear_model.LogisticRegression,679,TRUE
80,sklearn.linear_model.LogisticRegression,715,TRUE
81,sklearn.linear_model.LogisticRegression,718,TRUE
82,sklearn.linear_model.LogisticRegression,720,TRUE
83,sklearn.linear_model.LogisticRegression,723,TRUE
84,sklearn.linear_model.LogisticRegression,737,TRUE
85,sklearn.linear_model.LogisticRegression,740,TRUE
86,sklearn.linear_model.LogisticRegression,741,TRUE
87,sklearn.linear_model.LogisticRegression,743,TRUE
88,sklearn.linear_model.LogisticRegression,751,TRUE
89,sklearn.linear_model.LogisticRegression,772,TRUE
90,sklearn.linear_model.LogisticRegression,797,TRUE
91,sklearn.linear_model.LogisticRegression,799,TRUE
92,sklearn.linear_model.LogisticRegression,803,TRUE
93,sklearn.linear_model.LogisticRegression,806,TRUE
94,sklearn.linear_model.LogisticRegression,807,TRUE
95,sklearn.linear_model.LogisticRegression,813,TRUE
96,sklearn.linear_model.LogisticRegression,816,TRUE
97,sklearn.linear_model.LogisticRegression,821,TRUE
98,sklearn.linear_model.LogisticRegression,837,TRUE
99,sklearn.linear_model.LogisticRegression,845,TRUE
100,sklearn.linear_model.LogisticRegression,849,TRUE
101,sklearn.linear_model.LogisticRegression,866,TRUE
102,sklearn.linear_model.LogisticRegression,871,TRUE
103,sklearn.linear_model.LogisticRegression,897,TRUE
104,sklearn.linear_model.LogisticRegression,903,TRUE
105,sklearn.linear_model.LogisticRegression,904,TRUE
106,sklearn.linear_model.LogisticRegression,910,TRUE
107,sklearn.linear_model.LogisticRegression,912,TRUE
108,sklearn.linear_model.LogisticRegression,913,TRUE
109,sklearn.linear_model.LogisticRegression,914,TRUE
110,sklearn.linear_model.LogisticRegression,917,TRUE
111,sklearn.linear_model.LogisticRegression,959,FALSE
112,sklearn.linear_model.LogisticRegression,991,TRUE
113,sklearn.linear_model.LogisticRegression,1450,TRUE
114,sklearn.linear_model.LogisticRegression,1465,TRUE
115,sklearn.linear_model.LogisticRegression,40981,TRUE
116,sklearn.linear_model.SGDClassifier,11,TRUE
117,sklearn.linear_model.SGDClassifier,31,TRUE
118,sklearn.linear_model.SGDClassifier,61,TRUE
119,sklearn.linear_model.SGDClassifier,346,TRUE
120,sklearn.linear_model.SGDClassifier,446,TRUE
121,sklearn.linear_model.SGDClassifier,715,TRUE
122,sklearn.linear_model.SGDClassifier,723,TRUE
123,sklearn.linear_model.SGDClassifier,740,TRUE
124,sklearn.linear_model.SGDClassifier,741,TRUE
125,sklearn.linear_model.SGDClassifier,743,TRUE
