,learner,dataset_id,non-monotone,occurrences,significance
0,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,6,False,0,0.0
1,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,11,False,0,0.0
2,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,12,True,1,0.07991360691144708
3,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,14,True,1,0.14290962527553266
4,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,16,False,0,0.0
5,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,18,True,1,0.07264397905759161
6,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,21,False,0,0.0
7,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,22,True,1,0.1818367764368991
8,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,23,True,2,0.24335010783608907
9,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,26,False,0,0.0
10,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,28,True,1,0.5179518254809877
11,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,30,True,2,0.6816143497757852
12,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,32,False,0,0.0
13,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,36,False,0,0.0
14,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,44,True,2,0.72662568747978
15,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,54,True,2,0.15615976900866232
16,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,55,True,1,1.0
17,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,60,True,1,0.492686170212766
18,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,61,False,0,0.0
19,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,181,True,3,0.33370535714285754
20,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,182,True,1,0.5407202216066481
21,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,185,True,1,0.1288056206088994
22,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,201,True,2,0.1254632080465855
23,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,273,True,4,0.6293604651162792
24,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,293,True,2,0.094890510948905
25,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,299,True,1,0.4544091181763648
26,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,300,True,1,0.21954374412041391
27,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,346,True,1,0.33333333333333326
28,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,351,True,1,0.468944099378882
29,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,354,True,7,0.5765306122448988
30,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,357,True,2,0.3796898449224611
31,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,380,False,0,0.0
32,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,389,True,2,0.6164171399070728
33,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,390,True,2,0.5867217280813215
34,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,391,True,3,0.5457543281121185
35,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,392,False,0,0.0
36,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,393,True,1,0.09893455098934544
37,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,395,True,2,1.0
38,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,396,True,2,0.3125000000000001
39,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,398,True,2,0.9772508811278436
40,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,399,True,1,0.2850702731370989
41,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,401,False,0,0.0
42,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,446,False,0,0.0
43,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,554,True,1,0.4389639019013503
44,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,679,True,1,0.35006973500697347
45,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,715,True,2,0.3633387888707038
46,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,718,True,3,0.4445
47,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,720,True,3,0.26764436296975364
48,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,722,False,0,0.0
49,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,723,True,1,0.437570303712036
50,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,727,True,2,0.04803073967339098
51,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,728,True,2,0.3750000000000001
52,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,734,True,1,0.5541379310344827
53,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,735,True,1,0.08755426917510854
54,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,737,True,3,0.4096692111959288
55,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,740,True,1,0.37514060742407196
56,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,741,True,1,0.4000000000000002
57,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,743,True,1,0.7133676092544988
58,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,751,True,2,0.7002700270027002
59,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,752,True,1,0.23370233702337048
60,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,761,True,1,0.6331602373887242
61,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,772,True,2,0.5384615384615392
62,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,797,True,2,0.4619113573407202
63,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,799,True,2,0.42857142857142855
64,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,803,True,1,0.2639378969654199
65,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,806,True,1,0.5262908574135481
66,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,807,True,3,0.6594594594594609
67,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,813,True,3,0.875140607424072
68,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,816,True,1,0.06467013888888898
69,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,819,False,0,0.0
70,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,821,True,2,0.14381270903010057
71,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,822,True,3,0.08365758754863756
72,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,823,False,0,0.0
73,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,833,True,1,0.4745762711864406
74,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,837,True,2,0.7141020145735105
75,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,843,True,1,0.058588548601864146
76,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,845,True,2,0.19065981148243347
77,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,846,True,1,1.0
78,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,847,False,0,0.0
79,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,849,True,2,0.2963333333333332
80,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,866,True,3,0.5881418740074114
81,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,871,True,4,0.8578512396694223
82,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,881,True,1,0.03887055372203867
83,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,897,True,1,0.705991352686844
84,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,901,True,1,0.0826383623957545
85,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,903,True,2,0.8183306055646481
86,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,904,True,1,0.1725636250775915
87,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,910,True,1,0.599880023995201
88,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,912,True,3,1.0
89,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,913,True,2,1.0
90,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,914,True,1,0.3333333333333324
91,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,917,True,1,0.2914478619654914
92,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,923,True,4,0.29411764705882504
93,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,930,True,1,0.5356089338390222
94,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,934,True,1,0.8
95,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,958,False,0,0.0
96,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,959,True,1,0.07124125874125892
97,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,966,True,2,0.21019108280254792
98,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,976,False,0,0.0
99,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,979,True,1,0.39532449406838827
100,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,980,True,2,0.3508713136729223
