,learner,dataset_id,non-monotone
0,sklearn.linear_model.PassiveAggressiveClassifier,11,True
1,sklearn.linear_model.PassiveAggressiveClassifier,13,True
2,sklearn.linear_model.PassiveAggressiveClassifier,31,True
3,sklearn.linear_model.PassiveAggressiveClassifier,55,True
4,sklearn.linear_model.PassiveAggressiveClassifier,61,True
5,sklearn.linear_model.PassiveAggressiveClassifier,185,True
6,sklearn.linear_model.PassiveAggressiveClassifier,336,True
7,sklearn.linear_model.PassiveAggressiveClassifier,346,True
8,sklearn.linear_model.PassiveAggressiveClassifier,380,False
9,sklearn.linear_model.PassiveAggressiveClassifier,446,False
10,sklearn.linear_model.PassiveAggressiveClassifier,679,True
11,sklearn.linear_model.PassiveAggressiveClassifier,715,True
12,sklearn.linear_model.PassiveAggressiveClassifier,718,True
13,sklearn.linear_model.PassiveAggressiveClassifier,720,True
14,sklearn.linear_model.PassiveAggressiveClassifier,723,True
15,sklearn.linear_model.PassiveAggressiveClassifier,728,True
16,sklearn.linear_model.PassiveAggressiveClassifier,737,True
17,sklearn.linear_model.PassiveAggressiveClassifier,740,True
18,sklearn.linear_model.PassiveAggressiveClassifier,741,True
19,sklearn.linear_model.PassiveAggressiveClassifier,743,True
20,sklearn.linear_model.PassiveAggressiveClassifier,751,True
21,sklearn.linear_model.PassiveAggressiveClassifier,772,True
22,sklearn.linear_model.PassiveAggressiveClassifier,797,True
23,sklearn.linear_model.PassiveAggressiveClassifier,799,True
24,sklearn.linear_model.PassiveAggressiveClassifier,806,True
25,sklearn.linear_model.PassiveAggressiveClassifier,813,True
26,sklearn.linear_model.PassiveAggressiveClassifier,837,True
27,sklearn.linear_model.PassiveAggressiveClassifier,845,True
28,sklearn.linear_model.PassiveAggressiveClassifier,849,True
29,sklearn.linear_model.PassiveAggressiveClassifier,866,True
30,sklearn.linear_model.PassiveAggressiveClassifier,871,True
31,sklearn.linear_model.PassiveAggressiveClassifier,897,False
32,sklearn.linear_model.PassiveAggressiveClassifier,903,True
33,sklearn.linear_model.PassiveAggressiveClassifier,904,True
34,sklearn.linear_model.PassiveAggressiveClassifier,910,True
35,sklearn.linear_model.PassiveAggressiveClassifier,912,True
36,sklearn.linear_model.PassiveAggressiveClassifier,913,True
37,sklearn.linear_model.PassiveAggressiveClassifier,914,True
38,sklearn.linear_model.PassiveAggressiveClassifier,917,True
39,sklearn.linear_model.PassiveAggressiveClassifier,930,True
40,sklearn.linear_model.PassiveAggressiveClassifier,934,True
41,sklearn.linear_model.PassiveAggressiveClassifier,958,False
42,sklearn.linear_model.PassiveAggressiveClassifier,962,True
43,sklearn.linear_model.PassiveAggressiveClassifier,966,True
44,sklearn.linear_model.PassiveAggressiveClassifier,971,False
45,sklearn.linear_model.PassiveAggressiveClassifier,991,True
46,sklearn.linear_model.PassiveAggressiveClassifier,995,True
47,sklearn.linear_model.PassiveAggressiveClassifier,1049,True
48,sklearn.linear_model.PassiveAggressiveClassifier,1050,True
49,sklearn.linear_model.PassiveAggressiveClassifier,1067,True
50,sklearn.linear_model.PassiveAggressiveClassifier,1068,True
51,sklearn.linear_model.PassiveAggressiveClassifier,1441,True
52,sklearn.linear_model.PassiveAggressiveClassifier,1448,True
53,sklearn.linear_model.PassiveAggressiveClassifier,1450,True
54,sklearn.linear_model.PassiveAggressiveClassifier,1464,True
55,sklearn.linear_model.PassiveAggressiveClassifier,1465,True
56,sklearn.linear_model.PassiveAggressiveClassifier,1488,True
57,sklearn.linear_model.PassiveAggressiveClassifier,1489,True
58,sklearn.linear_model.PassiveAggressiveClassifier,1494,True
59,sklearn.linear_model.PassiveAggressiveClassifier,1499,True
60,sklearn.linear_model.PassiveAggressiveClassifier,40981,True
61,sklearn.linear_model.PassiveAggressiveClassifier,40994,True
62,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,11,True
63,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,18,True
64,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,21,True
65,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,54,True
66,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,55,True
67,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,61,True
68,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,181,True
69,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,185,True
70,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,346,True
71,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,380,True
72,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,446,False
73,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,679,True
74,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,715,True
75,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,723,True
76,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,728,True
77,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,737,True
78,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,740,True
79,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,741,True
80,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,743,True
81,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,751,True
82,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,772,True
83,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,799,True
84,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,813,True
85,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,845,True
86,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,849,True
87,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,871,True
88,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,903,True
89,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,910,True
90,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,912,True
91,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,913,True
92,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,914,True
